"","Rank","Tier","Player","Pos","Team","Bye","ADP","Floor","Consensus","FP","Ceiling","MVP"
"Injured","1","1","Christian McCaffrey","RB","SF","9","1.01","221.1","315.6","298.8","367.5","100.0"
"","2","1","CeeDee Lamb","WR","DAL","7","1.03","230.8","269.2","303.7","337.1","98.1"
"Injured","3","1","Tyreek Hill","WR","MIA","6","1.02","228.3","268.1","278.4","342.5","91.8"
"","4","2","Breece Hall","RB","NYJ","12","1.06","212.5","270.0","265.6","332.0","81.7"
"","5","2","Bijan Robinson","RB","ATL","12","1.04","205.1","257.5","269.9","323.9","80.0"
"","6","2","Justin Jefferson","WR","MIN","6","1.05","220.2","237.8","256.0","320.0","79.4"
"","7","2","Ja'Marr Chase","WR","CIN","12","1.07","223.6","235.7","254.1","320.2","79.1"
"","8","2","Amon-Ra St. Brown","WR","DET","5","1.08","213.6","242.1","254.3","292.5","75.1"
"","9","3","Jonathan Taylor","RB","IND","14","1.10","211.3","241.2","234.8","324.0","69.8"
"Injured","10","3","Jahmyr Gibbs","RB","DET","5","1.12","198.0","216.3","241.5","299.5","64.9"
"","11","3","Saquon Barkley","RB","PHI","5","1.11","196.7","232.0","231.4","303.1","64.0"
"","12","3","A.J. Brown","WR","PHI","5","1.09","197.2","233.2","221.5","274.7","61.8"
"","13","3","Garrett Wilson","WR","NYJ","12","2.01","191.6","204.6","230.9","277.0","61.6"
"Injured","14","3","Puka Nacua","WR","LAR","6","2.03","188.4","218.3","224.3","278.1","60.9"
"","15","4","Derrick Henry","RB","BAL","14","2.05","192.8","222.3","221.6","285.8","57.9"
"","16","4","Kyren Williams","RB","LAR","6","2.06","185.3","236.0","205.9","312.9","57.9"
"Value","17","5","De'Von Achane","RB","MIA","6","2.12","189.5","219.4","212.9","306.6","57.8"
"","18","5","Travis Etienne","RB","JAC","12","2.04","190.9","212.3","222.0","266.4","54.4"
"Value","19","4","Drake London","WR","ATL","12","2.08","179.9","203.4","206.8","260.6","53.7"
"Value","20","5","Isiah Pacheco","RB","KC","6","2.10","185.7","225.6","208.6","279.6","53.3"
"","21","4","Deebo Samuel","WR","SF","9","3.03","183.4","209.7","203.8","273.0","53.0"
"","22","4","Marvin Harrison Jr.","WR","ARI","11","2.02","162.1","208.0","200.1","264.1","51.6"
"Value","23","1","Jalen Hurts","QB","PHI","5","3.08","321.4","362.4","361.2","408.1","50.9"
"","24","4","Chris Olave","WR","NO","12","3.02","180.6","207.3","205.2","244.2","49.7"
"","25","5","Josh Jacobs","RB","GB","10","2.11","177.0","217.3","203.5","268.6","49.0"
"","26","4","Nico Collins","WR","HOU","14","3.07","176.4","205.8","200.5","266.6","48.3"
"","27","1","Josh Allen","QB","BUF","12","2.09","321.2","353.4","349.2","405.0","48.3"
"","28","4","Mike Evans","WR","TB","11","3.04","171.9","211.7","199.9","245.9","47.3"
"Value","29","4","Cooper Kupp","WR","LAR","6","3.10","168.9","191.8","206.0","261.6","46.0"
"Value","30","4","Jaylen Waddle","WR","MIA","6","4.01","181.8","188.0","206.5","266.4","45.6"
"","31","5","Brandon Aiyuk","WR","SF","9","3.09","176.3","207.1","183.6","258.9","44.9"
"","32","1","Travis Kelce","TE","KC","6","3.01","159.5","170.8","189.9","227.9","44.7"
"Bust","33","5","Davante Adams","WR","LVR","10","2.07","169.4","196.6","197.0","246.3","43.8"
"Value","34","5","Malik Nabers","WR","NYG","11","4.10","164.4","178.4","198.0","261.4","43.4"
"","35","5","Kenneth Walker III","RB","SEA","10","4.08","184.1","196.0","206.8","262.6","43.0"
"Injured","36","5","Joe Mixon","RB","HOU","14","4.07","173.2","195.5","211.3","259.9","42.9"
"Value","37","5","D.J. Moore","WR","CHI","7","4.04","170.4","178.8","202.8","241.3","41.3"
"Injured","38","1","Sam LaPorta","TE","DET","5","3.05","153.0","187.0","171.9","226.9","41.1"
"","39","5","DeVonta Smith","WR","PHI","5","4.11","178.8","202.1","188.2","244.7","40.9"
"","40","5","James Cook","RB","BUF","12","4.02","174.4","199.2","205.2","244.2","40.8"
"Value","41","5","Tee Higgins","WR","CIN","12","5.10","160.9","187.3","196.2","243.3","40.3"
"","42","5","D.K. Metcalf","WR","SEA","10","4.03","169.4","194.0","194.7","235.6","40.2"
"","43","6","Rachaad White","RB","TB","11","3.11","170.4","205.7","193.7","251.8","40.2"
"","44","6","Rashee Rice","WR","KC","6","7.02","140.1","165.8","200.2","258.3","39.8"
"","45","6","Stefon Diggs","WR","HOU","14","4.06","168.1","177.6","191.0","246.4","39.5"
"Value","46","1","Mark Andrews","TE","BAL","14","5.02","157.4","173.4","174.9","227.4","39.1"
"","47","6","Michael Pittman Jr.","WR","IND","14","4.05","174.5","188.1","185.7","222.8","37.5"
"","48","2","Patrick Mahomes","QB","KC","6","3.06","310.6","326.9","341.3","389.1","37.3"
"Value","49","6","James Conner","RB","ARI","11","5.07","161.6","183.1","192.4","246.3","37.0"
"","50","6","Nathaniel 'Tank' Dell","WR","HOU","14","6.01","158.1","182.2","179.6","244.3","37.0"
"Value","51","2","Trey McBride","TE","ARI","11","5.01","145.7","161.4","163.7","219.3","36.3"
"","52","6","David Montgomery","RB","DET","5","5.11","173.4","187.6","188.5","233.7","36.2"
"","53","3","Lamar Jackson","QB","BAL","14","3.12","312.0","342.5","325.0","406.2","36.1"
"Value","54","7","Raheem Mostert","RB","MIA","6","7.01","164.9","174.1","181.2","255.5","35.6"
"","55","6","Terry McLaurin","WR","WAS","14","6.08","170.5","174.6","183.4","225.6","35.2"
"Injured","56","7","Alvin Kamara","RB","NO","12","4.09","155.8","196.4","185.4","231.8","35.0"
"","57","7","Rhamondre Stevenson","RB","NE","14","6.03","166.7","174.4","191.7","222.3","34.6"
"","58","6","Amari Cooper","WR","CLE","10","5.06","160.1","198.6","168.5","224.1","34.4"
"","59","7","Aaron Jones","RB","MIN","6","5.03","160.6","184.4","180.4","232.8","33.8"
"","60","2","Dalton Kincaid","TE","BUF","12","5.04","135.5","157.3","153.9","209.3","33.8"
"","61","6","George Pickens","WR","PIT","9","5.12","154.7","181.2","168.2","225.4","33.0"
"Value","62","6","Chris Godwin","WR","TB","11","7.05","160.0","173.3","175.8","211.0","33.0"
"","63","7","D'Andre Swift","RB","CHI","7","6.02","160.0","172.2","183.9","222.5","32.8"
"Value","64","6","Calvin Ridley","WR","TEN","5","7.06","155.2","166.2","172.4","220.7","32.5"
"Value","65","7","Javonte Williams","RB","DEN","14","7.12","145.2","171.4","181.5","228.7","32.0"
"","66","6","Xavier Worthy","WR","KC","6","7.10","137.0","143.1","171.3","227.8","31.8"
"","67","6","Christian Kirk","WR","JAC","12","6.09","164.0","175.3","174.5","207.7","31.8"
"","68","7","Najee Harris","RB","PIT","9","6.06","161.3","176.7","175.3","224.4","31.8"
"","69","6","Jayden Reed","WR","GB","10","7.08","151.0","164.6","173.5","215.2","31.8"
"Injured","70","6","DeAndre Hopkins","WR","TEN","5","9.05","150.7","162.8","177.3","221.7","31.6"
"","71","3","George Kittle","TE","SF","9","5.08","127.5","163.7","150.0","199.5","31.5"
"Value","72","7","Tony Pollard","RB","TEN","5","7.03","153.5","160.0","180.6","225.8","31.4"
"Value","73","6","Diontae Johnson","WR","CAR","11","8.04","155.6","161.2","169.2","216.5","31.1"
"","74","6","Zay Flowers","WR","BAL","14","5.09","155.9","178.3","164.1","210.1","30.6"
"","75","3","Kyle Pitts","TE","ATL","12","6.04","120.5","155.5","145.2","206.2","29.9"
"","76","3","Anthony Richardson","QB","IND","14","5.05","266.7","328.9","317.5","390.5","29.4"
"Sleeper","77","6","Christian Watson","WR","GB","10","9.04","137.8","152.9","164.0","226.4","29.3"
"","78","6","Keenan Allen","WR","CHI","7","6.11","145.8","170.7","156.7","219.4","28.9"
"","79","7","Rome Odunze","WR","CHI","7","7.11","134.5","153.1","152.8","227.7","28.9"
"Value","80","3","Evan Engram","TE","JAC","12","6.10","133.9","146.8","148.8","181.5","28.2"
"","81","3","C.J. Stroud","QB","HOU","14","4.12","291.2","318.0","323.5","378.5","28.1"
"Value","82","7","Courtland Sutton","WR","DEN","14","10.05","144.0","165.5","160.0","208.0","27.9"
"","83","7","Zamir White","RB","LVR","10","6.12","133.1","168.8","170.6","213.3","27.9"
"Sleeper","84","7","Jaxon Smith-Njigba","WR","SEA","10","9.06","135.2","153.5","157.3","212.3","27.9"
"Injured","85","7","Marquise Brown","WR","KC","6","9.01","138.7","145.7","154.1","218.9","27.8"
"","86","3","David Njoku","TE","CLE","10","8.02","122.0","143.1","148.8","181.5","27.0"
"Value","87","7","Jaylen Warren","RB","PIT","9","8.08","141.7","153.3","168.6","209.1","26.8"
"Value","88","3","Jake Ferguson","TE","DAL","7","7.09","123.3","143.4","150.3","175.9","26.8"
"","89","3","Joe Burrow","QB","CIN","12","6.05","285.9","320.8","317.7","378.0","26.2"
"Value","90","7","Tyler Lockett","WR","SEA","10","11.11","137.8","144.6","162.1","194.6","25.2"
"","91","8","Brian Robinson Jr.","RB","WAS","14","8.10","139.2","155.2","161.9","207.2","24.2"
"","92","3","Dak Prescott","QB","DAL","7","7.04","291.8","299.6","313.7","376.5","23.6"
"","93","4","Brock Bowers","TE","LVR","10","8.05","108.5","125.9","132.3","189.2","23.3"
"","94","7","Brian Thomas Jr.","WR","JAC","12","10.02","123.9","150.1","145.8","211.4","23.1"
"Injured","95","8","Jonathon Brooks","RB","CAR","11","8.07","109.8","150.8","152.5","205.8","23.0"
"Sleeper","96","7","Jameson Williams","WR","DET","5","10.08","119.9","140.5","139.4","211.8","22.8"
"","97","7","Keon Coleman","WR","BUF","12","9.11","119.4","142.6","140.4","207.8","22.6"
"Sleeper","98","8","Tyjae Spears","RB","TEN","5","9.07","132.2","149.3","143.7","218.4","22.5"
"","99","8","Devin Singletary","RB","NYG","11","8.06","135.6","160.8","154.1","200.3","22.4"
"Sleeper","100","8","Chase Brown","RB","CIN","12","10.04","128.3","139.0","149.2","214.8","22.3"
"Injured","101","7","Jordan Addison","WR","MIN","6","8.12","117.6","158.3","145.2","201.8","22.1"
"","102","8","Zack Moss","RB","CIN","12","8.01","132.7","164.9","141.2","207.5","22.0"
"Value","103","4","Dallas Goedert","TE","PHI","5","10.01","120.6","141.2","134.0","171.5","22.0"
"","104","7","Ladd McConkey","WR","LAC","5","9.02","121.4","144.9","141.2","199.1","20.4"
"","105","7","Jerry Jeudy","WR","CLE","10","13.06","125.2","141.0","143.9","192.8","20.4"
"Injured","106","7","Mike Williams","WR","NYJ","12","13.11","110.0","147.3","142.8","198.5","20.1"
"Injured","107","7","Curtis Samuel","WR","BUF","12","11.01","118.7","141.6","144.8","192.5","20.1"
"Value","108","7","Jakobi Meyers","WR","LVR","10","12.11","133.9","136.7","148.8","189.0","20.0"
"Value","109","7","Gabriel 'Gabe' Davis","WR","JAC","12","14.06","125.9","131.8","143.0","195.9","19.9"
"Breakout","110","3","Jayden Daniels","QB","WAS","14","9.08","259.5","296.2","305.3","387.7","19.8"
"","111","4","Kyler Murray","QB","ARI","11","6.07","280.2","311.7","295.0","380.5","19.3"
"","112","4","Jordan Love","QB","GB","10","7.07","282.1","300.3","300.1","372.1","18.7"
"Sleeper","113","7","Rashid Shaheed","WR","NO","12","13.12","126.7","130.2","139.2","190.7","18.6"
"Sleeper","114","8","Austin Ekeler","RB","WAS","14","8.09","116.7","145.7","144.0","181.5","18.2"
"","115","9","Jerome Ford","RB","CLE","10","10.07","116.1","134.9","135.0","197.2","17.4"
"Value","116","7","Brandin Cooks","WR","DAL","7","14.03","114.1","134.8","139.2","181.0","17.1"
"Sleeper","117","8","Dontayvion Wicks","WR","GB","10","14.07","105.8","113.7","121.6","204.3","16.0"
"Injured","118","9","Nick Chubb","RB","CLE","10","8.03","69.9","169.3","139.9","177.6","15.8"
"","119","11","Romeo Doubs","WR","GB","10","11.05","112.3","137.1","130.6","182.9","15.6"
"Handcuff Flyer","120","9","Blake Corum","RB","LAR","6","10.09","106.0","113.5","120.5","219.3","14.9"
"","121","9","Ezekiel Elliott","RB","DAL","7","9.12","94.3","144.3","134.7","188.6","14.4"
"","122","5","Caleb Williams","QB","CHI","7","9.03","262.3","289.6","285.1","367.8","14.2"
"","123","11","Joshua 'Josh' Palmer","WR","LAC","5","12.08","109.8","144.1","120.7","184.6","14.1"
"","124","11","Khalil Shakir","WR","BUF","12","11.02","103.6","133.3","120.4","195.1","13.9"
"Sleeper","125","9","Ty Chandler","RB","MIN","6","13.07","108.3","112.2","124.5","195.5","13.6"
"","126","9","Gus Edwards","RB","LAC","5","9.10","101.3","142.1","111.4","202.7","13.3"
"Value","127","11","Ja'Lynn Polk","WR","NE","14","15.04","104.6","112.6","123.0","194.4","13.1"
"Sleeper","128","11","Darnell Mooney","WR","ATL","12","16.10","106.3","129.6","120.8","186.0","13.1"
"Handcuff Flyer","129","9","Zach Charbonnet","RB","SEA","10","12.04","105.7","104.0","120.1","201.7","12.8"
"","130","5","Dalton Schultz","TE","HOU","14","10.10","109.1","122.3","116.1","150.9","12.7"
"Injured","131","11","Josh Downs","WR","IND","14","15.10","108.5","119.6","120.6","186.9","12.6"
"Sleeper","132","5","Pat Freiermuth","TE","PIT","9","11.04","100.3","121.0","115.3","149.8","11.6"
"","133","11","Adonai Mitchell","WR","IND","14","13.04","89.9","109.9","105.8","197.8","11.1"
"","134","9","Jaleel McLaughlin","RB","DEN","14","14.02","102.3","110.3","113.6","187.5","10.6"
"Handcuff Flyer","135","9","Trey Benson","RB","ARI","11","10.06","84.0","112.3","106.3","189.3","10.3"
"Value","136","11","Wan'Dale Robinson","WR","NYG","11","20.03","103.6","113.0","123.3","165.3","10.2"
"","137","5","Brock Purdy","QB","SF","9","8.11","265.9","290.6","289.1","346.9","10.2"
"Injured","138","6","T.J. Hockenson","TE","MIN","6","10.11","74.3","130.7","111.0","156.5","10.1"
"","139","5","Jared Goff","QB","DET","5","10.03","270.7","277.1","291.1","346.3","9.8"
"Sleeper","140","11","Demarcus Robinson","WR","LAR","6","22.05","97.5","108.8","121.9","170.6","9.8"
"Handcuff Flyer","141","10","Chuba Hubbard","RB","CAR","11","11.12","88.8","119.9","102.1","199.1","9.3"
